PuzzleId,FEN,Moves,Rating,Themes,SAN
0f6u8,4bR2/1pk5/p1p1pQ2/8/1P4qp/P7/3K4/8 b - - 3 40,e8h5 f6d8,1358,dovetailmate endgame master mate matein1 onemove,Bh5 Qd8#
0PU2S,r4bk1/2pb1p2/p2p2pp/1p1P2q1/P3P3/1P5r/1BB2P1N/R2QR2K w - - 0 23,e1g1 h3h2 h1h2 g5h4 h2g2 h4h3,1388,attraction dovetailmate exposedking kingsideattack long mate matein3 middlegame sacrifice,Rg1 Rxh2+ Kxh2 Qh4+ Kg2 Qh3#
0aVfV,8/3rb1Q1/p1qp1p2/4pk2/8/1P6/PKP5/6R1 b - - 0 41,d7c7 g7g4,1425,dovetailmate endgame master mate matein1 onemove,Rc7 Qg4#
0PKg1,8/Q1k3p1/1r2P3/2p1q1b1/5B1p/2P5/3K3P/1r1R1R2 b - - 0 38,c7c6 a7d7,1427,dovetailmate mate matein1 middlegame onemove,Kc6 Qd7#
05MRH,6k1/ppp2p1p/2n3p1/2NB4/3P1QqP/2P3B1/PP3P2/1K2r3 w - - 4 29,b1c2 g4d1,1429,dovetailmate mate matein1 middlegame onemove,Kc2 Qd1#
0UbEY,7k/1ppQ2p1/7p/8/p1P1Pn2/P4PK1/1P4qP/5R2 w - - 3 31,g3f4 g2g5,1506,dovetailmate endgame mate matein1 onemove,Kxf4 Qg5#
0nzY0,Q7/7p/4pkp1/8/3q3P/6P1/5P1K/1r6 b - - 4 44,d4d5 a8f8 f6e5 f8f4,1543,dovetailmate endgame mate matein2 short,Qd5 Qf8+ Ke5 Qf4#
0baXS,2Q4r/kp3pp1/pB6/8/8/7P/Pq4PK/2R5 b - - 3 28,a7b6 c8c5,1548,dovetailmate endgame mate matein1 onemove,Kxb6 Qc5#
0b9rn,r4r2/p1p3pp/3p2k1/3P4/3Q2RP/P7/KPP3q1/8 b - - 10 42,g2g4 d4g4 g6f7 g4e6,1562,dovetailmate endgame hangingpiece mate matein2 short,Qxg4 Qxg4+ Kf7 Qe6#
0MPik,5bnr/2Qpkp2/p5pp/3p4/2q5/2N5/PP1K1P1P/4R3 b - - 1 17,e7f6 c7e5,1593,dovetailmate mate matein1 middlegame onemove,Kf6 Qe5#
00j1r,8/2rkb3/1p6/6P1/5q2/3R4/Q1P1K3/8 b - - 4 37,d7c6 a2d5,1664,dovetailmate endgame mate matein1 onemove,Kc6 Qd5#
09vpf,rn5r/pp1pkppp/4p3/2Q5/1P6/6B1/P3B1PP/qN2K2n b - - 2 15,e7f6 g3h4 g7g5 c5g5,1690,dovetailmate mate matein2 middlegame short,Kf6 Bh4+ g5 Qxg5#
0gxKB,R3r3/1Q1k4/5p1p/3pq3/2p5/8/2p3PP/7K b - - 0 35,d7d6 a8a6 d6c5 b7b6,1757,dovetailmate endgame mate matein2 short,Kd6 Ra6+ Kc5 Qb6#
047Qs,2kr3r/4q1pp/1Q3p2/3pp3/P7/2R1PP2/3P1P1P/6K1 b - - 0 23,c8d7 b6c6,1810,dovetailmate endgame mate matein1 onemove,Kd7 Qc6#
09IzA,r1r5/3Q1Rp1/1p3bkp/p7/PnP1P3/6P1/5PP1/6K1 b - - 2 30,c8d8 f7g7 f6g7 d7f5,1967,dovetailmate endgame mate matein2 sacrifice short,Rd8 Rxg7+ Bxg7 Qf5#
0neOV,rnbqkbnr/ppp3pp/8/7Q/4pp2/1B6/PPPP2PP/RNB1K2R b KQkq - 1 8,e8d7 h5d5 f8d6 d5f5 d7c6 b3a4 b7b5 f5b5,2757,dovetailmate mate matein4 opening verylong,Kd7 Qd5+ Bd6 Qf5+ Kc6 Ba4+ b5 Qxb5#
