PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PGN,SAN
0DPch,7r/1p1k1p1r/p1n1p1p1/3pP3/3P1PPR/2PB2Q1/8/1Nq2K1R w - - 1 25,f1e2 c1h1 h4h1 h7h1,2122,76,72,110,crushing master middlegame short xrayattack,https://lichess.org/wfe04E0q#49,,"[Event ""crushing master middlegame short xrayattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""7r/1p1k1p1r/p1n1p1p1/3pP3/3P1PPR/2PB2Q1/8/1Nq2K1R w - - 1 25""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing master middlegame short xrayattack""]
[ChapterName ""crushing master middlegame short xrayattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""2122""]
[RatingDeviation ""76""]
[Popularity ""72""]
[NbPlays ""110""]
[Themes ""crushing master middlegame short xrayattack""]

25. Ke2 Qxh1 26. Rxh1 Rxh1 *",Ke2 Qxh1 Rxh1 Rxh1
0Ztng,2r1r2Q/1b1qkpp1/p1nbp3/1p6/3PN2B/P7/1P3PPP/2R1K2R b K - 9 21,f7f6 h4f6 g7f6 h8f6,2130,77,95,2292,mate matein2 middlegame short xrayattack,https://lichess.org/N50QDxpX/black#42,,"[Event ""mate matein2 middlegame short xrayattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2r1r2Q/1b1qkpp1/p1nbp3/1p6/3PN2B/P7/1P3PPP/2R1K2R b K - 9 21""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""mate matein2 middlegame short xrayattack""]
[ChapterName ""mate matein2 middlegame short xrayattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""2130""]
[RatingDeviation ""77""]
[Popularity ""95""]
[NbPlays ""2292""]
[Themes ""mate matein2 middlegame short xrayattack""]

21... f6 22. Bxf6+ gxf6 23. Qxf6# *",f6 Bxf6+ gxf6 Qxf6#
0Ocip,r2q1rk1/p4pp1/2n2n1p/7b/2Pp3B/P4N1P/4BPP1/R2Q1RK1 w - - 1 17,f3d4 d8d4 h4f6 d4d1 e2d1 h5d1,2133,82,88,65,advantage long master opening xrayattack,https://lichess.org/Hsp7F4hq#33,Queens_Gambit_Declined Queens_Gambit_Declined_Queens_Knight_Variation,"[Event ""advantage long master opening xrayattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r2q1rk1/p4pp1/2n2n1p/7b/2Pp3B/P4N1P/4BPP1/R2Q1RK1 w - - 1 17""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage long master opening xrayattack""]
[ChapterName ""advantage long master opening xrayattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""2133""]
[RatingDeviation ""82""]
[Popularity ""88""]
[NbPlays ""65""]
[Themes ""advantage long master opening xrayattack""]

17. Nxd4 Qxd4 18. Bxf6 Qxd1 19. Bxd1 Bxd1 *",Nxd4 Qxd4 Bxf6 Qxd1 Bxd1 Bxd1
0WUpz,4r1k1/p4ppp/1p2q3/8/1P1RnQ2/P3B1P1/2r2P1P/5RK1 w - - 9 25,f1d1 e4c3 d4d2 c3e2 d2e2 c2e2,2147,80,92,1348,advantage fork long middlegame xrayattack,https://lichess.org/Orr4LYxo#49,,"[Event ""advantage fork long middlegame xrayattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""4r1k1/p4ppp/1p2q3/8/1P1RnQ2/P3B1P1/2r2P1P/5RK1 w - - 9 25""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage fork long middlegame xrayattack""]
[ChapterName ""advantage fork long middlegame xrayattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""2147""]
[RatingDeviation ""80""]
[Popularity ""92""]
[NbPlays ""1348""]
[Themes ""advantage fork long middlegame xrayattack""]

25. Rfd1 Nc3 26. R4d2 Ne2+ 27. Rxe2 Rxe2 *",Rfd1 Nc3 R4d2 Ne2+ Rxe2 Rxe2
02ouU,2kr2nr/1pp1q2p/p2b2p1/1N1P1b2/2BPp3/Q7/PB3PPP/4R1K1 b - - 1 17,a6b5 a3a8 c8d7 c4b5 c7c6 b5c6 b7c6 a8c6,2180,86,90,1707,intermezzo mate matein4 middlegame queensideattack verylong xrayattack,https://lichess.org/BfvOwgIY/black#34,Italian_Game Italian_Game_Evans_Gambit,"[Event ""intermezzo mate matein4 middlegame queensideattack verylong xrayattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2kr2nr/1pp1q2p/p2b2p1/1N1P1b2/2BPp3/Q7/PB3PPP/4R1K1 b - - 1 17""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""intermezzo mate matein4 middlegame queensideattack verylong xrayattack""]
[ChapterName ""intermezzo mate matein4 middlegame queensideattack verylong xrayattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""2180""]
[RatingDeviation ""86""]
[Popularity ""90""]
[NbPlays ""1707""]
[Themes ""intermezzo mate matein4 middlegame queensideattack verylong xrayattack""]

17... axb5 18. Qa8+ Kd7 19. Bxb5+ c6 20. Bxc6+ bxc6 21. Qxc6# *",axb5 Qa8+ Kd7 Bxb5+ c6 Bxc6+ bxc6 Qxc6#
0oyR9,2kr3r/1pp2p2/p3p2p/6p1/q3P3/P5P1/1Q1R1PP1/1K1R1B2 w - - 0 25,d2d4 a4d1 d4d1 d8d1 b1c2 h8d8,2186,75,92,3564,advantage defensivemove exposedking fork long middlegame xrayattack,https://lichess.org/u6UxAAnS#49,,"[Event ""advantage defensivemove exposedking fork long middlegame xrayattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""2kr3r/1pp2p2/p3p2p/6p1/q3P3/P5P1/1Q1R1PP1/1K1R1B2 w - - 0 25""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage defensivemove exposedking fork long middlegame xrayattack""]
[ChapterName ""advantage defensivemove exposedking fork long middlegame xrayattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""2186""]
[RatingDeviation ""75""]
[Popularity ""92""]
[NbPlays ""3564""]
[Themes ""advantage defensivemove exposedking fork long middlegame xrayattack""]

25. Rd4 Qxd1+ 26. Rxd1 Rxd1+ 27. Kc2 Rhd8 *",Rd4 Qxd1+ Rxd1 Rxd1+ Kc2 Rhd8
0hAXF,r5k1/3qbppp/r3p3/8/1pPpQP2/3P2P1/1BP4P/R3R1K1 b - - 4 28,e7f6 e4a8 a6a8 a1a8 f6d8 e1e4,2211,167,0,11,advantage long middlegame xrayattack,https://lichess.org/2XwpFJwi/black#56,,"[Event ""advantage long middlegame xrayattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""r5k1/3qbppp/r3p3/8/1pPpQP2/3P2P1/1BP4P/R3R1K1 b - - 4 28""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""advantage long middlegame xrayattack""]
[ChapterName ""advantage long middlegame xrayattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""2211""]
[RatingDeviation ""167""]
[Popularity ""0""]
[NbPlays ""11""]
[Themes ""advantage long middlegame xrayattack""]

28... Bf6 29. Qxa8+ Rxa8 30. Rxa8+ Bd8 31. Re4 *",Bf6 Qxa8+ Rxa8 Rxa8+ Bd8 Re4
0QNfb,4r1r1/1p5k/p2Bp2p/2Pp4/1P1QbP2/P1P1R1RP/2q3PK/8 w - - 11 36,d4e5 c2g2 g3g2 g8g2 h2h1 e8g8 e5e4 d5e4,2226,82,90,745,crushing middlegame quietmove sacrifice verylong xrayattack,https://lichess.org/ITgYTVBo#71,,"[Event ""crushing middlegame quietmove sacrifice verylong xrayattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""4r1r1/1p5k/p2Bp2p/2Pp4/1P1QbP2/P1P1R1RP/2q3PK/8 w - - 11 36""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing middlegame quietmove sacrifice verylong xrayattack""]
[ChapterName ""crushing middlegame quietmove sacrifice verylong xrayattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""2226""]
[RatingDeviation ""82""]
[Popularity ""90""]
[NbPlays ""745""]
[Themes ""crushing middlegame quietmove sacrifice verylong xrayattack""]

36. Qe5 Qxg2+ 37. Rxg2 Rxg2+ 38. Kh1 Reg8 39. Qxe4+ dxe4 *",Qe5 Qxg2+ Rxg2 Rxg2+ Kh1 Reg8 Qxe4+ dxe4
0QlIH,rn1Rnr1k/p3N2p/b5p1/1pp5/4P3/1B6/PPP2PPP/4R1K1 b - - 3 26,a6b7 b3d5 b8a6 d8a8 b7a8 d5a8,2240,77,83,340,crushing long middlegame xrayattack,https://lichess.org/x9T9oZU8/black#52,,"[Event ""crushing long middlegame xrayattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""rn1Rnr1k/p3N2p/b5p1/1pp5/4P3/1B6/PPP2PPP/4R1K1 b - - 3 26""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing long middlegame xrayattack""]
[ChapterName ""crushing long middlegame xrayattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""2240""]
[RatingDeviation ""77""]
[Popularity ""83""]
[NbPlays ""340""]
[Themes ""crushing long middlegame xrayattack""]

26... Bb7 27. Bd5 Na6 28. Rxa8 Bxa8 29. Bxa8 *",Bb7 Bd5 Na6 Rxa8 Bxa8 Bxa8
062GG,5rk1/p4rpp/2pp4/3p4/8/1P1R1PqP/P1P2QP1/4R1K1 b - - 10 24,f7f3 f2g3 f3g3 d3g3,2248,77,92,902,crushing endgame master short xrayattack,https://lichess.org/yWph3E8B/black#48,,"[Event ""crushing endgame master short xrayattack""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""5rk1/p4rpp/2pp4/3p4/8/1P1R1PqP/P1P2QP1/4R1K1 b - - 10 24""]
[SetUp ""1""]
[Variant ""From Position""]
[Annotator ""https://lichess.org/@/IQ_4U_Academy""]
[ECO ""?""]
[Opening ""?""]
[StudyName ""crushing endgame master short xrayattack""]
[ChapterName ""crushing endgame master short xrayattack""]
[ChapterURL ""https://lichess.org/study/RljHPTdA/IKD1XdcO""]
[ChapterMode ""gamebook""]
[Rating ""2248""]
[RatingDeviation ""77""]
[Popularity ""92""]
[NbPlays ""902""]
[Themes ""crushing endgame master short xrayattack""]

24... Rxf3 25. Qxg3 Rxg3 26. Rxg3 *",Rxf3 Qxg3 Rxg3 Rxg3
