PuzzleId,FEN,Moves,Rating,Themes,SAN
0NIiW,r4rk1/1pp2pp1/4n3/p2NP1p1/1P6/5R2/P1P3PP/3R2K1 b - - 1 20,a5b4 d5e7 g8h7 f3h3,963,anastasiamate endgame master mate matein2 short,axb4 Ne7+ Kh7 Rh3#
0FMT8,5r2/6k1/R2pB1p1/1p1P4/PPn5/6P1/6KP/8 w - - 1 38,a4b5 c4e3 g2h3 f8h8,964,anastasiamate endgame mate matein2 short,axb5 Ne3+ Kh3 Rh8#
0IFWh,1r6/1p2b3/p3N1pk/8/3p4/P1P3R1/1P6/6K1 b - - 0 40,d4c3 g3h3 e7h4 h3h4,965,anastasiamate endgame mate matein2 short,dxc3 Rh3+ Bh4 Rxh4#
0IC4r,r4rk1/p2p1pp1/1p6/4PNPp/7Q/8/1q4PP/4R1K1 b - - 0 30,b2c3 f5e7 g8h7 h4h5,967,anastasiamate endgame mate matein2 short,Qc3 Ne7+ Kh7 Qxh5#
0Hz2m,r4rk1/ppp2pp1/3p4/3Np3/K1BbP3/3P4/Pq6/R7 b - - 1 22,d4c5 d5e7 g8h7 a1h1 b2h2 h1h2,967,anastasiamate long mate matein3 middlegame,Bc5 Ne7+ Kh7 Rh1+ Qh2 Rxh2#
0GGWL,r4rk1/1p3pp1/pR2b3/2pNb3/4P2p/5P2/PPP5/2K2B1R b - - 3 20,a8d8 d5e7 g8h7 h1h4,1013,anastasiamate kingsideattack mate matein2 middlegame short,Rad8 Ne7+ Kh7 Rxh4#
0KHmb,4r3/2k3p1/2pp4/8/1P6/4nQP1/P1PN2K1/5R2 w - - 0 35,g2h3 e8h8 f3h5 h8h5,1024,anastasiamate endgame mate matein2 short,Kh3 Rh8+ Qh5 Rxh5#
2242,r4rk1/1p3pp1/8/2p1pNP1/4PnR1/P7/1B3q1N/3R3K b - - 1 32,f2b2 f5e7 g8h7 g4h4 f4h5 h4h5,1025,anastasiamate long mate matein3 middlegame,Qxb2 Ne7+ Kh7 Rh4+ Nh5 Rxh5#
0Gm6u,6k1/6p1/7p/P1B1r3/2Pp1rP1/1Q1P4/1P2n1PK/R7 w - - 0 33,c5d6 e5h5 g4h5 f4h4,1052,anastasiamate endgame mate matein2 sacrifice short,Bd6 Rh5+ gxh5 Rh4#
0Yn6i,3r1rk1/ppp2pp1/2pR4/5N2/6Q1/6P1/Pq3PKP/2R5 b - - 0 28,c7d6 f5e7 g8h7 g4h3,1060,anastasiamate endgame mate matein2 short,cxd6 Ne7+ Kh7 Qh3#
0BprF,8/1p5p/p3N1pk/3K4/Pr6/4r3/8/6R1 b - - 3 40,b4a4 g1h1 e3h3 h1h3 a4h4 h3h4,1091,anastasiamate endgame long mate matein3,Rxa4 Rh1+ Rh3 Rxh3+ Rh4 Rxh4#
0WMo1,r4r1k/p3Nppp/2p5/3b4/8/5PP1/P1K3P1/R6R b - - 0 21,f8e8 h1h7 h8h7 a1h1,1099,anastasiamate attraction endgame master mate matein2 sacrifice short,Rfe8 Rxh7+ Kxh7 Rh1#
0dNZ4,3r4/2R1p3/3Nkp2/6p1/8/6B1/4nPPK/8 w - - 19 42,d6b7 d8h8 g3h4 h8h4,1126,anastasiamate endgame mate matein2 short,Nb7 Rh8+ Bh4 Rxh4#
0GH7T,5rk1/pp3pp1/4p1N1/3q3R/6QP/1P1p2P1/P1r1p2K/4R3 b - - 1 30,d5h5 g6e7 g8h7 g4h5,1160,anastasiamate endgame intermezzo mate matein2 short,Qxh5 Ne7+ Kh7 Qxh5#
0emW8,r1b2rk1/1p3ppp/p7/3Np3/6P1/4P3/PPP3P1/2KR3R b - - 0 17,c8g4 d5e7 g8h8 h1h7 h8h7 d1h1 g4h5 h1h5,1160,anastasiamate attraction endgame mate matein4 sacrifice verylong,Bxg4 Ne7+ Kh8 Rxh7+ Kxh7 Rh1+ Bh5 Rxh5#
0kRJr,r4rk1/ppp2ppp/1b1pn3/3N4/P1B1P3/3K1P2/1PP2q2/R2Q3R b - - 5 19,c7c6 d5e7 g8h8 h1h7 h8h7 d1h1 f2h4 h1h4,1277,anastasiamate attraction kingsideattack mate matein4 middlegame sacrifice verylong,c6 Ne7+ Kh8 Rxh7+ Kxh7 Qh1+ Qh4 Qxh4#
0eotU,5r1k/4Nppn/6p1/8/4R2Q/p1q2P2/Pr4PP/6RK b - - 5 35,b2a2 h4h7 h8h7 e4h4,1284,anastasiamate attraction mate matein2 middlegame sacrifice short,Rxa2 Qxh7+ Kxh7 Rh4#
0d82l,r7/ppp2k2/3p1p2/2bPpP2/4P3/2P5/PP1Bn1Pr/R3R2K w - - 0 24,h1h2 a8h8 d2h6 h8h6,1285,anastasiamate endgame mate matein2 short,Kxh2 Rh8+ Bh6 Rxh6#
0K1RS,r6r/1p2k1p1/2p3p1/p1p1N3/P2nP3/1B1P4/1PP1nPPP/3R1RK1 w - - 5 21,g1h1 h8h2 h1h2 a8h8,1292,anastasiamate attraction kingsideattack mate matein2 middlegame sacrifice short,Kh1 Rxh2+ Kxh2 Rh8#
0QVw8,8/3b1p1p/p3k1p1/2Q5/P2BB3/5P2/4n1P1/4qNK1 w - - 2 40,g1h2 e1h4,1334,anastasiamate mate matein1 middlegame onemove,Kh2 Qh4#
0oyz7,r4r1k/pp2Nppn/3p4/4pP2/2P5/3K4/PP6/6RR b - - 0 24,a8e8 h1h7 h8h7 g1h1,1345,anastasiamate attraction endgame mate matein2 sacrifice short,Rae8 Rxh7+ Kxh7 Rh1#
0dwSf,r5r1/1p2k3/1pp5/7b/3B1RP1/8/PPPn4/K4BR1 w - - 0 33,f1d3 a8a2 a1a2 g8a8 d3a6 a8a6,1366,anastasiamate attraction long mate matein3 middlegame sacrifice,Bd3 Rxa2+ Kxa2 Ra8+ Ba6 Rxa6#
0Dqaz,2r4r/1p3kp1/p2p2p1/8/3nP3/P2P4/1P3PPP/1RB2RK1 w - - 0 22,c1e3 d4e2 g1h1 h8h2 h1h2 c8h8 e3h6 h8h6,1369,anastasiamate attraction endgame kingsideattack mate matein4 sacrifice verylong,Be3 Ne2+ Kh1 Rxh2+ Kxh2 Rh8+ Bh6 Rxh6#
0KthX,r7/p2pkpp1/b2N4/2p1P2q/2Q5/8/PP2nPPP/R4R1K w - - 3 21,c4c5 h5h2 h1h2 a8h8,1369,anastasiamate attraction kingsideattack mate matein2 middlegame sacrifice short,Qxc5 Qxh2+ Kxh2 Rh8#
02TUT,5r2/ppp1Nppk/8/1P6/5Bq1/3RQ3/b6p/7K b - - 5 32,f8e8 e3h3 g4h3 d3h3,1371,anastasiamate master mate matein2 middlegame short,Re8 Qh3+ Qxh3 Rxh3#
0NocY,4r2r/5pk1/3Q4/1p1p4/3P4/P7/1P2nPPP/5R1K w - - 2 29,d6d5 h8h2 h1h2 e8h8 d5h5 h8h5,1397,anastasiamate attraction endgame long mate matein3 sacrifice,Qxd5 Rxh2+ Kxh2 Rh8+ Qh5 Rxh5#
0YT5v,r2qk2r/ppp2pp1/2np4/4p3/2B3Q1/P1nP4/2P2PPN/R1B2RK1 w kq - 0 13,g4g7 c3e2 g1h1 h8h2 h1h2 d8h4,1432,anastasiamate attraction kingsideattack long mate matein3 middlegame sacrifice,Qxg7 Ne2+ Kh1 Rxh2+ Kxh2 Qh4#
0Axww,5k1r/pp6/1q2r3/4p1Q1/2P1BP2/1P1P4/P3n1PP/R4RK1 w - - 1 25,g1h1 h8h2 h1h2 e6h6 g5h6 b6h6,1432,anastasiamate attraction kingsideattack long mate matein3 middlegame sacrifice,Kh1 Rxh2+ Kxh2 Rh6+ Qxh6+ Qxh6#
07h5e,4r1k1/1Q3p2/6pp/8/4p2P/8/KP1n1PP1/8 w - - 3 39,b7d7 e8a8 d7a4 a8a4,1446,anastasiamate endgame mate matein2 short,Qd7 Ra8+ Qa4 Rxa4#
0AU6n,1r3r1k/1q1nN1pp/3P1p2/pPp1p3/Pn3B2/1P2R3/5PPP/1Q1R2K1 b - - 7 25,e5f4 b1h7 h8h7 e3h3,1459,anastasiamate attraction kingsideattack mate matein2 middlegame sacrifice short,exf4 Qxh7+ Kxh7 Rh3#
0Ethq,1k6/1p3r2/p2R4/8/4n1P1/P1R3K1/1PP5/8 w - - 1 39,g3h4 f7h7 d6h6 h7h6,1459,anastasiamate endgame mate matein2 short,Kh4 Rh7+ Rh6 Rxh6#
0DkbY,r1b2r1k/1pq1Nppp/p7/3Rb2Q/2BpP3/7P/PP3PP1/R5K1 b - - 7 19,e5f6 h5h7 h8h7 d5h5,1463,anastasiamate attraction kingsideattack mate matein2 middlegame sacrifice short,Bf6 Qxh7+ Kxh7 Rh5#
0o7IR,r4rk1/p1p2ppp/3p1q2/2pN4/2n5/6RQ/PPP2PPP/R5K1 b - - 7 18,f6b2 d5e7 g8h8 h3h7 h8h7 g3h3,1464,anastasiamate attraction kingsideattack long mate matein3 middlegame sacrifice,Qxb2 Ne7+ Kh8 Qxh7+ Kxh7 Rh3#
0eFlv,2kr3r/ppp2qp1/1bp2p2/4p3/1PQ1Pnp1/2P1N3/P2P1PPN/R1B2RK1 w - - 2 16,c4f7 f4e2 g1h1 h8h2 h1h2 d8h8 f7h5 h8h5,1479,anastasiamate attraction kingsideattack master mate matein4 middlegame sacrifice verylong,Qxf7 Ne2+ Kh1 Rxh2+ Kxh2 Rh8+ Qh5 Rxh5#
0XF2X,r1b4r/p3Nppk/nb2p2p/1p6/1Pp1Nn1P/P7/1K2P1P1/3R1B1R b - - 0 22,c8b7 e4g5 h6g5 h4g5 f4h3 h1h3,1488,anastasiamate discoveredattack long mate matein3 middlegame sacrifice,Bb7 Ng5+ hxg5 hxg5+ Nh3 Rxh3#
02o2h,r5k1/ppp2ppp/5q2/2PQ4/7r/P3B3/1P2nPPP/R4R1K w - - 3 19,d5b7 h4h2 h1h2 f6h4,1490,anastasiamate attraction kingsideattack mate matein2 middlegame sacrifice short,Qxb7 Rxh2+ Kxh2 Qh4#
0cKz8,r7/ppp4r/4Bk2/8/3n4/3P4/PPP2PPP/R4RK1 w - - 0 20,e6b3 d4e2 g1h1 h7h2 h1h2 a8h8,1499,anastasiamate attraction endgame long mate matein3 sacrifice,Bb3 Ne2+ Kh1 Rxh2+ Kxh2 Rh8#
0fmQ8,r3nr1k/4N1pp/p2p1p2/4nR2/1p2P3/7Q/Pq2B1PP/4R2K b - - 3 23,b2c3 h3h7 h8h7 f5h5,1504,anastasiamate attraction kingsideattack mate matein2 middlegame sacrifice short,Qc3 Qxh7+ Kxh7 Rh5#
0UpzB,2r2rk1/3n1pp1/p1Np2q1/1p1P3p/1P2PP2/PB5P/6P1/3QR1K1 b - - 2 26,g6g3 c6e7 g8h7 d1h5,1504,anastasiamate fork mate matein2 middlegame short,Qg3 Ne7+ Kh7 Qxh5#
0hu7H,3r1rk1/1pp2pp1/p6q/n3pN2/4pP2/2P1P1P1/PP5Q/R3K2R b KQ - 3 24,h6h2 f5e7 g8h7 h1h2,1521,anastasiamate intermezzo mate matein2 middlegame short,Qxh2 Ne7+ Kh7 Rxh2#
0SZQ9,r6r/6k1/pBPP1p2/1p4p1/6b1/PB1P4/2P1n1PP/R4R1K w - - 3 28,f1e1 h8h2 h1h2 a8h8,1536,anastasiamate attraction kingsideattack mate matein2 middlegame sacrifice short,Rfe1 Rxh2+ Kxh2 Rh8#
0MCvc,r1b2r2/1p2N1pk/p2p2p1/4p3/8/5N2/PPP2nP1/2K2R2 b - - 1 20,f2e4 f1h1 c8h3 h1h3,1556,anastasiamate mate matein2 middlegame short,Ne4 Rh1+ Bh3 Rxh3#
0GuWu,r2q1r1k/p3Nppp/8/2p1R3/4Q3/1P6/P1Pb2PP/R5K1 b - - 3 18,d2c3 e4h7 h8h7 e5h5,1571,anastasiamate attraction kingsideattack mate matein2 middlegame sacrifice short,Bc3 Qxh7+ Kxh7 Rh5#
0olx5,6k1/pQ2p2p/2p3p1/4qr2/2P1Nn2/3P4/P4PPP/5RK1 w - - 1 25,b7c6 f4e2 g1h1 e5h2 h1h2 f5h5,1595,anastasiamate attraction discoveredattack endgame long mate matein3 sacrifice,Qxc6 Ne2+ Kh1 Qxh2+ Kxh2 Rh5#
