PuzzleId,FEN,Moves,Rating,Themes,SAN
073l1,6k1/5ppp/2b1p2q/4P3/1P1P4/4r3/B4RPP/2Q3K1 w - - 3 26,c1c6 e3e1 f2f1 h6e3 g1h1 e1f1,982,backrankmate clearance deflection endgame long mate matein3,Qxc6 Re1+ Rf1 Qe3+ Kh1 Rxf1#
07B8q,2r2rk1/4Rpp1/8/1N6/p1BP3P/2P5/P7/6K1 w - - 3 33,e7c7 c8c7 b5c7 f8c8 c4d5 c8c7,989,advantage clearance endgame long,Rc7 Rxc7 Nxc7 Rc8 Bd5 Rxc7
0e6as,1br2rk1/ppq2pp1/2p3p1/3pn3/4n3/1P2P1NP/PB1PBPP1/R2Q1RK1 w - - 12 17,g3e4 e5f3 g2f3 c7h2,990,clearance kingsideattack mate matein2 opening sacrifice short,Nxe4 Nf3+ gxf3 Qh2#
0YufY,r2q1rk1/pp3p2/2n2b1R/6p1/3pN3/3Q4/PPP2PP1/2KR4 b - - 0 18,f6g7 e4f6 g7f6 d3h7,1005,clearance kingsideattack mate matein2 middlegame sacrifice short,Bg7 Nf6+ Bxf6 Qh7#
0iSw3,r2q2k1/ppp2rp1/6QB/3nn2p/7b/2P2P2/PP2P1B1/RN3KNR w - - 2 19,g6h5 d5e3 h6e3 d8d1,1006,clearance mate matein2 middlegame sacrifice short,Qxh5 Ne3+ Bxe3 Qd1#
0fC4T,r4rk1/1bqp1pp1/p3p2p/n3P2n/2pPN3/2P2P2/P1Q3PN/1BR1R1K1 b - - 3 21,h5f4 e4f6 g7f6 c2h7,1007,clearance kingsideattack mate matein2 middlegame sacrifice short,Nf4 Nf6+ gxf6 Qh7#
0cp4a,r4rk1/2pbqpp1/pn2p2p/1p1nP3/3PN3/1P1Q1N2/P1B2PPP/R4RK1 b - - 3 18,d5f4 e4f6 g7f6 d3h7,1013,clearance kingsideattack mate matein2 middlegame sacrifice short,Nf4 Nf6+ gxf6 Qh7#
0TFLK,2r1k3/5p2/bp4p1/p1qpP2r/P4P2/1P2R1P1/3Q2B1/3R2K1 w - - 3 29,d2d4 c5d4 d1d4 c8c1,1016,clearance crushing master mastervsmaster middlegame pin short,Qd4 Qxd4 Rxd4 Rc1+
0cYy8,2bQ4/ppp2pk1/3nq1pp/3N4/2P5/PP4P1/5PBP/6K1 w - - 4 29,d5c7 e6e1 g2f1 c8h3,1017,advantage clearance endgame pin short,Nxc7 Qe1+ Bf1 Bh3
00Aae,1R6/1P6/4pkp1/5p2/3P3p/3KP3/8/1r6 b - - 0 43,h4h3 b8f8 f6e7 b7b8q b1b8 f8b8,1020,advancedpawn clearance crushing endgame long promotion rookendgame,h3 Rf8+ Ke7 b8=Q Rxb8 Rxb8
0aWlC,5r2/pp2pr1k/3pb2P/6N1/2q5/2N5/PP4Q1/2K3R1 b - - 1 26,h7h8 g5f7 e6f7 g2g7,1022,clearance mate matein2 middlegame short,Kh8 Nxf7+ Bxf7 Qg7#
0C58k,r1bqk2r/pp3pp1/2n1p3/3pP3/3P2Pn/P4N2/1P1bBP2/R1BQ1RK1 w kq - 0 16,d1d2 h4f3 e2f3 d8h4,1025,clearance crushing kingsideattack opening short,Qxd2 Nxf3+ Bxf3 Qh4
0JogA,r7/pppb4/3p2k1/4p3/3PPp2/2P4r/P1PKB3/6RR b - - 1 26,g6h6 h1h3 d7h3 g1h1,1030,advantage clearance endgame pin short,Kh6 Rxh3+ Bxh3 Rh1
0AT0l,1r3rk1/2p1qpp1/1bp4p/p2np1Nb/P1PPN3/7P/1PQ2PP1/R1B2RK1 b - - 0 18,d5b4 e4f6 e7f6 c2h7,1031,clearance kingsideattack mate matein2 middlegame sacrifice short,Nb4 Nf6+ Qxf6 Qh7#
07igg,5r2/p6k/8/3N1pqn/3Q4/5P2/1r4PP/3R2RK w - - 13 42,d4b2 h5g3 h2g3 g5h5,1034,clearance mate matein2 middlegame sacrifice short,Qxb2 Ng3+ hxg3 Qh5#
03xmf,8/pp1k2p1/1b6/3pr3/P7/1NP1p1PP/1P4P1/3R3K w - - 0 26,a4a5 e3e2 d1e1 b6f2 e1e2 e5e2,1035,advancedpawn clearance crushing endgame long,a5 e2 Re1 Bf2 Rxe2 Rxe2
0KNZa,6k1/1Q4p1/6qp/P6n/1P6/5P2/1P4PP/6RK w - - 1 33,a5a6 h5g3 h2g3 g6h5,1035,clearance endgame mate matein2 sacrifice short,a6 Ng3+ hxg3 Qh5#
0Ey3i,2kr4/ppq2p2/3b1p1p/3Bn1r1/P7/2P4P/1P1N1PP1/R2Q1RK1 w - - 1 18,d2f3 e5f3 d5f3 d6h2 g1h1 d8d1,1038,advantage clearance discoveredattack kingsideattack long middlegame pin,Nf3 Nxf3+ Bxf3 Bh2+ Kh1 Rxd1
0OKdO,r4rk1/pbp1qpp1/1pn1pn1p/4N3/1P1PN3/P3P3/2Q2PPP/RB3RK1 b - - 4 18,c6e5 e4f6 g7f6 c2h7,1046,clearance kingsideattack mate matein2 middlegame short,Nxe5 Nxf6+ gxf6 Qh7#
0W9ho,3r1k2/pp3P2/4K3/6Nr/8/2P5/PP6/6R1 b - - 2 43,d8d2 g5h7 h5h7 g1g8,1049,clearance endgame mate matein2 sacrifice short,Rd2 Nh7+ Rxh7 Rg8#
0l0Eo,8/5K2/5P2/8/8/3k4/R6p/7r w - - 3 66,f7e7 h1e1 e7f8 h2h1q,1050,advancedpawn clearance crushing endgame promotion rookendgame short,Ke7 Re1+ Kf8 h1=Q
060S6,r1b2rk1/pp1qnppp/2pb4/4p1N1/4N3/4P3/PPQP1PPP/R1B1K2R b KQ - 7 13,h7h6 e4f6 g7f6 c2h7,1055,clearance kingsideattack mate matein2 opening sacrifice short,h6 Nf6+ gxf6 Qh7#
0jTTO,6k1/p5p1/5b1p/1pN5/1Pb5/P1r3B1/3R1PPP/5K2 w - - 3 35,f1e1 c3c1 d2d1 f6c3,1060,clearance endgame master mate matein2 short,Ke1 Rc1+ Rd1 Bc3#
0XP5O,5rk1/1Q3pp1/7p/3p2qn/P1pP4/5P2/6PP/2R1R2K w - - 1 33,e1g1 h5g3 h2g3 g5h5,1060,clearance endgame mate matein2 sacrifice short,Rg1 Ng3+ hxg3 Qh5#
05bPj,r7/1p2b2k/pq4p1/4pr1n/2P2p2/PN1Q1P2/1P1B2PP/3R1R1K w - - 3 22,d2a5 h5g3 h2g3 f5h5,1064,clearance kingsideattack mate matein2 middlegame sacrifice short,Ba5 Ng3+ hxg3 Rh5#
0oFuh,3rr3/pkp1bppp/3p1n2/8/8/1P6/PBPN1PPP/2KRR3 w - - 2 15,d2e4 f6e4 e1e4 e7g5 f2f4 e8e4,1066,clearance crushing discoveredattack long master middlegame,Ne4 Nxe4 Rxe4 Bg5+ f4 Rxe4
0MiBR,7k/pp5p/8/3p4/3P1qr1/2P4Q/PP4P1/R6K w - - 3 33,h3f3 g4h4 h1g1 f4h2 g1f2 h4f4,1069,advantage clearance endgame long pin,Qf3 Rh4+ Kg1 Qh2+ Kf2 Rf4
0ZzKT,1r3rk1/1p3p2/B2p3p/2p3p1/P7/2b3PP/2P3P1/1R1K3R w - - 1 23,b1b7 b8b7 a6b7 f8b8 h1f1 b8b7,1077,clearance crushing endgame long,Rxb7 Rxb7 Bxb7 Rb8 Rf1 Rxb7
0cM0j,2q3k1/2p2pp1/p4bb1/4p1Pp/4P3/2P2N1r/PP2QP2/3RR1K1 w - - 1 28,g1f1 h3h1 f3g1 c8h3,1079,clearance mate matein2 middlegame pin short,Kf1 Rh1+ Ng1 Qh3#
0F1QT,2r2rk1/p4pp1/1p4nR/3qP3/3PN3/3QP2P/6P1/5RK1 b - - 0 28,g6e5 e4f6 g7f6 d3h7,1086,clearance mate matein2 middlegame sacrifice short,Nxe5 Nf6+ gxf6 Qh7#
05ev2,2r3k1/2q2pp1/4p1p1/p7/3Q4/1P5P/P1rR1PP1/3R2K1 w - - 0 26,d4h4 c2d2 d1d2 c7c1 d2d1 c1d1,1093,clearance crushing endgame fork long,Qh4 Rxd2 Rxd2 Qc1+ Rd1 Qxd1+
0KBPy,2r2rk1/6pp/p1q2p2/1p6/3R1N2/PQ2P2P/1P3PP1/6K1 b - - 4 31,g8h8 f4g6 h7g6 d4h4,1095,clearance endgame mate matein2 sacrifice short,Kh8 Ng6+ hxg6 Rh4#
0hsuw,4r1k1/1p4pp/p1p4q/3p4/1P1Q3r/P3PP2/1B3KP1/5RR1 w - - 10 27,g2g4 h4h2 g1g2 h6h4 f2e2 h2g2,1095,advantage clearance deflection long master middlegame,g4 Rh2+ Rg2 Qh4+ Ke2 Rxg2+
0NzZs,r5r1/ppp1Qpkp/3P4/1P2R3/P2q1P2/7P/3P2PK/8 b - - 5 33,g7h8 e7f6 g8g7 e5e8 a8e8 f6d4,1095,advantage clearance discoveredattack endgame long,Kh8 Qf6+ Rg7 Re8+ Rxe8 Qxd4
