PuzzleId,FEN,Moves,Rating,Themes,SAN
0mcH5,5r2/1R1R1pk1/6b1/7p/5P1P/PB4P1/1P1p1K2/7r w - - 2 43,d7d2 h1h2 f2f3 h2d2,1190,advantage endgame short skewer,Rxd2 Rh2+ Kf3 Rxd2
0KM4Z,r3kb2/ppp5/1nnp2p1/1B2p3/4P3/2NPBPq1/PPP2N2/R2QK3 w Qq - 2 21,d1d2 g3g1 e1e2 g1a1,1191,advantage middlegame short skewer,Qd2 Qg1+ Ke2 Qxa1
0OhrE,2k5/p7/2pR2N1/6p1/2P5/1P3n1P/P1K1r3/8 w - - 1 33,c2d3 e2d2 d3c3 d2d6,1191,advantage endgame short skewer,Kd3 Rd2+ Kc3 Rxd6
0lV7b,8/2b5/4B3/p2P4/P4kpB/3r4/5PK1/8 b - - 2 46,d3d2 h4g3 f4e4 g3c7,1191,crushing endgame master short skewer,Rd2 Bg3+ Ke4 Bxc7
0MoBt,5rk1/5rp1/2p1p3/P1P1q1Bp/2Pp4/P5R1/4QP2/5RK1 w - - 2 33,e2h5 e5g3 f2g3 f7f1 g1g2 f8f2 g2h3 f1h1 h3g4 h1h5,1193,crushing middlegame skewer verylong,Qxh5 Qxg3+ fxg3 Rxf1+ Kg2 R8f2+ Kh3 Rh1+ Kg4 Rxh5
0TwxL,rn2k2r/pp3ppp/4B3/q2np3/1b6/1Q3N2/PB3PPP/2R2K1R b kq - 2 14,f7e6 c1c8 e8e7 c8h8 a5b5 f1g1,1194,advantage defensivemove long master middlegame skewer,fxe6 Rc8+ Ke7 Rxh8 Qb5+ Kg1
0oocf,r2q1rk1/1p3pbp/4p1p1/8/p2P1P2/1Q2PR2/PB4PP/2R3K1 w - - 0 18,b3b7 a8b8 b7c6 b8b2,1194,advantage middlegame short skewer,Qxb7 Rb8 Qc6 Rxb2
0na0i,8/pk6/1pp2P1p/3pQ3/6PP/1PPP1K2/1P6/5q2 w - - 1 37,f3e3 f1e1 e3f3 e1e5,1194,crushing endgame queenendgame short skewer,Ke3 Qe1+ Kf3 Qxe5
0VOWL,1r4k1/3p2P1/2bR1P1p/8/p7/P7/r1B5/2K2R2 w - - 2 35,d6d3 a2a1 c1d2 a1f1,1195,crushing endgame short skewer,Rd3 Ra1+ Kd2 Rxf1
0kQR3,8/5k2/4pPp1/1Q1p4/p2P3P/8/6K1/4q3 b - - 2 43,e1h4 b5d7 f7f6 d7d8 f6f5 d8h4,1196,crushing endgame long queenendgame skewer,Qxh4 Qd7+ Kxf6 Qd8+ Kf5 Qxh4
