PuzzleId,FEN,Moves,Rating,Themes,SAN
0kBAO,3r1N2/3P1Qpk/p4b2/1p1R4/7P/1P6/P4PK1/1q6 b - - 4 35,d8f8 d5h5,1349,endgame killboxmate master mate matein1 onemove,Rxf8 Rh5#
0iRVh,2r4r/1nq2p1k/5Qp1/pp2p3/6P1/2P2P2/PP1R4/2K5 b - - 1 31,b5b4 d2h2 h7g8 h2h8,1384,endgame killboxmate mate matein2 short,b4 Rh2+ Kg8 Rxh8#
0Q34J,r3rkbQ/4q3/2p2p2/p7/1p1P4/1PP5/P3NPP1/2K4R b - - 0 25,e7e2 h8f6 g8f7 h1h8,1396,endgame killboxmate mate matein2 short,Qxe2 Qxf6+ Bf7 Rh8#
0LhtN,rr2kR2/6pp/p7/3pP3/2p5/Q1P5/P2q2PP/7K b - - 1 29,e8d7 a3d6,1435,endgame killboxmate mate matein1 onemove,Kd7 Qd6#
09hgG,k2r4/1p2R3/p4q2/2Q5/2P1K3/4N3/8/8 w - - 0 56,c5c7 d8d4,1483,endgame killboxmate master mate matein1 onemove,Qc7 Rd4#
0QZZf,5rk1/p5pp/8/1pp3Q1/8/P2q3P/1P1B2P1/R2K1r1R w - - 2 27,h1f1 f8f1,1497,endgame killboxmate mate matein1 onemove,Rxf1 Rxf1#
0dNyQ,r1b3k1/pppn2b1/3pR2B/7p/2Pq4/2nB4/PP1K2Q1/R7 b - - 3 20,d7c5 e6e8 g8f7 g2g6,1575,killboxmate kingsideattack mate matein2 middlegame pin short,Nc5 Re8+ Kf7 Qg6#
0g5XU,4rk2/Rb6/2pb1pQ1/1pPp4/1P1P1N2/5qBp/5P2/6K1 w - - 5 36,a7b7 e8e1 g1h2 e1h1,1634,killboxmate mate matein2 middlegame short,Rxb7 Re1+ Kh2 Rh1#
0GnqP,2r1k2r/1p6/p1q1pQ2/5b1p/P2R4/2P5/1P3P1P/3R2K1 b - - 0 29,h8h7 d4d8 c8d8 d1d8,1652,killboxmate mate matein2 middlegame short,Rh7 Rd8+ Rxd8 Rxd8#
0InvA,6k1/5pp1/qpPBp3/3pP2p/3N3P/2K4Q/r4PP1/r2R3R w - - 5 28,d1a1 a6c4,1656,killboxmate mate matein1 middlegame onemove,Rxa1 Qc4#
0GY5k,2r1r3/1pq1n2k/p2p1Qp1/8/P1B1PP2/3R4/1P4PP/6K1 b - - 0 24,c7c4 d3h3 h7g8 h3h8,1657,endgame killboxmate mate matein2 short,Qxc4 Rh3+ Kg8 Rh8#
0SSgk,3R2k1/2q5/2b3pb/1pp5/p3r2Q/P7/1PP3PP/5RK1 b - - 1 27,g8g7 h4f6 g7h7 d8h8,1727,killboxmate mate matein2 middlegame short,Kg7 Qf6+ Kh7 Rh8#
0ZmqD,1r2r3/1p4k1/p1q1b3/5p2/8/2Q3P1/PP3KP1/7R b - - 7 30,g7f8 c3f6 e6f7 h1h8,1744,endgame killboxmate mate matein2 pin short,Kf8 Qf6+ Bf7 Rh8#
0Ye9u,2r3k1/2qp1r2/p4Np1/1p1Q4/8/8/PP3PP1/1K5R b - - 2 23,g8g7 h1h7 g7f6 h7f7,1813,endgame killboxmate mate matein2 short,Kg7 Rh7+ Kxf6 Rxf7#
0a11n,2r3k1/5ppp/1Q6/pN1pp1P1/Pq5P/8/2K2P2/3R3R w - - 3 26,c2d3 b4e4 d3d2 c8c2,1827,endgame killboxmate mate matein2 short,Kd3 Qe4+ Kd2 Rc2#
0oMdk,1Rb3k1/6pp/2p5/3p4/3q4/3B1QN1/r1K3PP/2n5 w - - 7 34,c2c1 d4c3 c1b1 a2a1,1855,killboxmate mate matein2 middlegame short,Kxc1 Qc3+ Kb1 Ra1#
06DT8,4r3/4qk1Q/2p1r1p1/p2p1p2/8/1P3RP1/P1P4P/5RK1 b - - 1 36,f7f6 f3f5 g6f5 f1f5,1878,endgame killboxmate mate matein2 sacrifice short,Kf6 Rxf5+ gxf5 Rxf5#
0Ys1z,4r1k1/3R1p2/5qp1/p1BQ3p/1p5P/1B2K1P1/P7/8 w - - 3 46,e3d2 f6c3 d2d1 e8e1,1912,endgame killboxmate mate matein2 short,Kd2 Qc3+ Kd1 Re1#
02sI2,3R4/ppp3rk/5Q2/8/2q5/5P2/1P1R2Pr/5K2 w - - 6 34,f1f2 g7g2 f2e3 g2e2 d2e2 h2e2,2005,endgame killboxmate long mate matein3,Kf2 Rgxg2+ Ke3 Re2+ Rxe2 Rxe2#
0TVqw,6k1/p4pP1/4p2Q/8/3Bn2P/1r3K2/2q5/3R3R w - - 0 33,d4e3 c2f2 f3e4 f2f5 e4d4 f5d5,2032,exposedking killboxmate long mate matein3 middlegame pin sacrifice,Be3 Qf2+ Kxe4 Qf5+ Kd4 Qd5#
0HIfF,7k/p1r2rp1/1p2p1Qp/1P1p1p1R/4qP2/4b2R/P1P3PP/7K b - - 1 31,e3c5 h5h6 g7h6 h3h6 f7h7 g6e8 h8g7 h6g6,2188,killboxmate kingsideattack mate matein4 middlegame sacrifice verylong,Bc5 Rxh6+ gxh6 Rxh6+ Rh7 Qe8+ Kg7 Rg6#
0OcBn,8/3k1rp1/p2p1p2/2pP1P2/2P5/P3Q3/2q3PP/1rB1R1K1 b - - 2 34,c2c4 e3e8 d7c7 e8c6 c7b8 e1e8 b8a7 e8a8,2306,endgame fork killboxmate mate matein4 verylong,Qxc4 Qe8+ Kc7 Qc6+ Kb8 Re8+ Ka7 Ra8#
0hM3j,2r4r/pR2Q1pp/8/2k1pP2/3p4/4bP1N/q1P1K1PP/7R b - - 5 28,c5c6 e7d7 c6c5 d7b5 c5d6 b7d7,2399,exposedking killboxmate long mate matein3 middlegame,Kc6 Qd7+ Kc5 Qb5+ Kd6 Rd7#
